#alt[m],rho[g/cm^3],thick[g/cm^2]
176,1.21769E-03,1.01224E+03
177,1.21756E-03,1.01211E+03
178,1.21743E-03,1.01199E+03
179,1.21731E-03,1.01187E+03
180,1.21718E-03,1.01175E+03
181,1.21705E-03,1.01163E+03
182,1.21692E-03,1.01151E+03
183,1.21680E-03,1.01138E+03
184,1.21667E-03,1.01126E+03
185,1.21654E-03,1.01114E+03
186,1.21641E-03,1.01102E+03
187,1.21629E-03,1.01090E+03
188,1.21616E-03,1.01078E+03
189,1.21603E-03,1.01065E+03
190,1.21590E-03,1.01053E+03
191,1.21578E-03,1.01041E+03
192,1.21565E-03,1.01029E+03
193,1.21552E-03,1.01017E+03
194,1.21539E-03,1.01005E+03
195,1.21527E-03,1.00992E+03
196,1.21514E-03,1.00980E+03
197,1.21501E-03,1.00968E+03
198,1.21488E-03,1.00956E+03
199,1.21476E-03,1.00944E+03
200,1.21463E-03,1.00932E+03
201,1.21450E-03,1.00920E+03
202,1.21437E-03,1.00907E+03
203,1.21425E-03,1.00895E+03
204,1.21412E-03,1.00883E+03
205,1.21399E-03,1.00871E+03
206,1.21387E-03,1.00859E+03
207,1.21374E-03,1.00847E+03
208,1.21361E-03,1.00835E+03
209,1.21348E-03,1.00822E+03
210,1.21336E-03,1.00810E+03
211,1.21323E-03,1.00798E+03
212,1.21310E-03,1.00786E+03
213,1.21298E-03,1.00774E+03
214,1.21285E-03,1.00762E+03
215,1.21272E-03,1.00750E+03
216,1.21259E-03,1.00738E+03
217,1.21247E-03,1.00725E+03
218,1.21234E-03,1.00713E+03
219,1.21221E-03,1.00701E+03
220,1.21209E-03,1.00689E+03
221,1.21196E-03,1.00677E+03
222,1.21183E-03,1.00665E+03
223,1.21171E-03,1.00653E+03
224,1.21158E-03,1.00641E+03
225,1.21145E-03,1.00628E+03
226,1.21132E-03,1.00616E+03
227,1.21120E-03,1.00604E+03
228,1.21107E-03,1.00592E+03
229,1.21094E-03,1.00580E+03
230,1.21082E-03,1.00568E+03
231,1.21069E-03,1.00556E+03
232,1.21056E-03,1.00544E+03
233,1.21044E-03,1.00532E+03
234,1.21031E-03,1.00519E+03
235,1.21018E-03,1.00507E+03
236,1.21006E-03,1.00495E+03
237,1.20993E-03,1.00483E+03
238,1.20980E-03,1.00471E+03
239,1.20968E-03,1.00459E+03
240,1.20955E-03,1.00447E+03
241,1.20942E-03,1.00435E+03
242,1.20930E-03,1.00423E+03
243,1.20917E-03,1.00411E+03
244,1.20904E-03,1.00398E+03
245,1.20892E-03,1.00386E+03
246,1.20879E-03,1.00374E+03
247,1.20866E-03,1.00362E+03
248,1.20854E-03,1.00350E+03
249,1.20841E-03,1.00338E+03
250,1.20828E-03,1.00326E+03
251,1.20816E-03,1.00314E+03
252,1.20803E-03,1.00302E+03
253,1.20790E-03,1.00290E+03
254,1.20778E-03,1.00278E+03
255,1.20765E-03,1.00266E+03
256,1.20752E-03,1.00253E+03
257,1.20740E-03,1.00241E+03
258,1.20727E-03,1.00229E+03
259,1.20714E-03,1.00217E+03
260,1.20702E-03,1.00205E+03
261,1.20689E-03,1.00193E+03
262,1.20676E-03,1.00181E+03
263,1.20664E-03,1.00169E+03
264,1.20651E-03,1.00157E+03
265,1.20638E-03,1.00145E+03
266,1.20626E-03,1.00133E+03
267,1.20613E-03,1.00121E+03
268,1.20600E-03,1.00109E+03
269,1.20588E-03,1.00097E+03
270,1.20575E-03,1.00085E+03
271,1.20563E-03,1.00072E+03
272,1.20550E-03,1.00060E+03
273,1.20537E-03,1.00048E+03
274,1.20525E-03,1.00036E+03
275,1.20512E-03,1.00024E+03
276,1.20499E-03,1.00012E+03
277,1.20487E-03,1.00000E+03
278,1.20474E-03,9.99881E+02
279,1.20462E-03,9.99761E+02
280,1.20449E-03,9.99640E+02
281,1.20436E-03,9.99520E+02
282,1.20424E-03,9.99399E+02
283,1.20411E-03,9.99279E+02
284,1.20398E-03,9.99159E+02
285,1.20386E-03,9.99038E+02
286,1.20373E-03,9.98918E+02
287,1.20361E-03,9.98797E+02
288,1.20348E-03,9.98677E+02
289,1.20335E-03,9.98557E+02
290,1.20323E-03,9.98436E+02
291,1.20310E-03,9.98316E+02
292,1.20298E-03,9.98196E+02
293,1.20285E-03,9.98075E+02
294,1.20272E-03,9.97955E+02
295,1.20260E-03,9.97835E+02
296,1.20247E-03,9.97715E+02
297,1.20235E-03,9.97594E+02
298,1.20222E-03,9.97474E+02
299,1.20209E-03,9.97354E+02
300,1.20197E-03,9.97234E+02
301,1.20184E-03,9.97113E+02
302,1.20172E-03,9.96993E+02
303,1.20159E-03,9.96873E+02
304,1.20146E-03,9.96753E+02
305,1.20134E-03,9.96633E+02
306,1.20121E-03,9.96513E+02
307,1.20109E-03,9.96393E+02
308,1.20096E-03,9.96272E+02
309,1.20083E-03,9.96152E+02
310,1.20071E-03,9.96032E+02
311,1.20058E-03,9.95912E+02
312,1.20046E-03,9.95792E+02
313,1.20033E-03,9.95672E+02
314,1.20021E-03,9.95552E+02
315,1.20008E-03,9.95432E+02
316,1.19995E-03,9.95312E+02
317,1.19983E-03,9.95192E+02
318,1.19970E-03,9.95072E+02
319,1.19958E-03,9.94952E+02
320,1.19945E-03,9.94832E+02
321,1.19933E-03,9.94712E+02
322,1.19920E-03,9.94592E+02
323,1.19907E-03,9.94472E+02
324,1.19895E-03,9.94352E+02
325,1.19882E-03,9.94233E+02
326,1.19870E-03,9.94113E+02
327,1.19857E-03,9.93993E+02
328,1.19845E-03,9.93873E+02
329,1.19832E-03,9.93753E+02
330,1.19819E-03,9.93633E+02
331,1.19807E-03,9.93513E+02
332,1.19794E-03,9.93394E+02
333,1.19782E-03,9.93274E+02
334,1.19769E-03,9.93154E+02
335,1.19757E-03,9.93034E+02
336,1.19744E-03,9.92915E+02
337,1.19732E-03,9.92795E+02
338,1.19719E-03,9.92675E+02
339,1.19706E-03,9.92555E+02
340,1.19694E-03,9.92436E+02
341,1.19681E-03,9.92316E+02
342,1.19669E-03,9.92196E+02
343,1.19656E-03,9.92077E+02
344,1.19644E-03,9.91957E+02
345,1.19631E-03,9.91837E+02
346,1.19619E-03,9.91718E+02
347,1.19606E-03,9.91598E+02
348,1.19594E-03,9.91478E+02
349,1.19581E-03,9.91359E+02
350,1.19569E-03,9.91239E+02
351,1.19556E-03,9.91120E+02
352,1.19544E-03,9.91000E+02
353,1.19531E-03,9.90881E+02
354,1.19518E-03,9.90761E+02
355,1.19506E-03,9.90642E+02
356,1.19493E-03,9.90522E+02
357,1.19481E-03,9.90403E+02
358,1.19468E-03,9.90283E+02
359,1.19456E-03,9.90164E+02
360,1.19443E-03,9.90044E+02
361,1.19431E-03,9.89925E+02
362,1.19418E-03,9.89805E+02
363,1.19406E-03,9.89686E+02
364,1.19393E-03,9.89566E+02
365,1.19381E-03,9.89447E+02
366,1.19368E-03,9.89328E+02
367,1.19356E-03,9.89208E+02
368,1.19343E-03,9.89089E+02
369,1.19331E-03,9.88970E+02
370,1.19318E-03,9.88850E+02
371,1.19306E-03,9.88731E+02
372,1.19293E-03,9.88612E+02
373,1.19281E-03,9.88492E+02
374,1.19268E-03,9.88373E+02
375,1.19256E-03,9.88254E+02
376,1.19243E-03,9.88135E+02
377,1.19231E-03,9.88015E+02
378,1.19218E-03,9.87896E+02
379,1.19206E-03,9.87777E+02
380,1.19193E-03,9.87658E+02
381,1.19181E-03,9.87538E+02
382,1.19168E-03,9.87419E+02
383,1.19156E-03,9.87300E+02
384,1.19143E-03,9.87181E+02
385,1.19131E-03,9.87062E+02
386,1.19118E-03,9.86943E+02
387,1.19106E-03,9.86824E+02
388,1.19093E-03,9.86704E+02
389,1.19081E-03,9.86585E+02
390,1.19068E-03,9.86466E+02
391,1.19056E-03,9.86347E+02
392,1.19043E-03,9.86228E+02
393,1.19031E-03,9.86109E+02
394,1.19019E-03,9.85990E+02
395,1.19006E-03,9.85871E+02
396,1.18994E-03,9.85752E+02
397,1.18981E-03,9.85633E+02
398,1.18969E-03,9.85514E+02
399,1.18956E-03,9.85395E+02
400,1.18944E-03,9.85276E+02
401,1.18931E-03,9.85157E+02
402,1.18919E-03,9.85038E+02
403,1.18906E-03,9.84919E+02
404,1.18894E-03,9.84800E+02
405,1.18881E-03,9.84682E+02
406,1.18869E-03,9.84563E+02
407,1.18856E-03,9.84444E+02
408,1.18844E-03,9.84325E+02
409,1.18832E-03,9.84206E+02
410,1.18819E-03,9.84087E+02
411,1.18807E-03,9.83968E+02
412,1.18794E-03,9.83850E+02
413,1.18782E-03,9.83731E+02
414,1.18769E-03,9.83612E+02
415,1.18757E-03,9.83493E+02
416,1.18744E-03,9.83375E+02
417,1.18732E-03,9.83256E+02
418,1.18720E-03,9.83137E+02
419,1.18707E-03,9.83018E+02
420,1.18695E-03,9.82900E+02
421,1.18682E-03,9.82781E+02
422,1.18670E-03,9.82662E+02
423,1.18657E-03,9.82544E+02
424,1.18645E-03,9.82425E+02
425,1.18633E-03,9.82306E+02
426,1.18620E-03,9.82188E+02
427,1.18608E-03,9.82069E+02
428,1.18595E-03,9.81950E+02
429,1.18583E-03,9.81832E+02
430,1.18570E-03,9.81713E+02
431,1.18558E-03,9.81595E+02
432,1.18546E-03,9.81476E+02
433,1.18533E-03,9.81358E+02
434,1.18521E-03,9.81239E+02
435,1.18508E-03,9.81121E+02
436,1.18496E-03,9.81002E+02
437,1.18483E-03,9.80884E+02
438,1.18471E-03,9.80765E+02
439,1.18459E-03,9.80647E+02
440,1.18446E-03,9.80528E+02
441,1.18434E-03,9.80410E+02
442,1.18421E-03,9.80291E+02
443,1.18409E-03,9.80173E+02
444,1.18397E-03,9.80054E+02
445,1.18384E-03,9.79936E+02
446,1.18372E-03,9.79818E+02
447,1.18359E-03,9.79699E+02
448,1.18347E-03,9.79581E+02
449,1.18335E-03,9.79463E+02
450,1.18322E-03,9.79344E+02
451,1.18310E-03,9.79226E+02
452,1.18297E-03,9.79108E+02
453,1.18285E-03,9.78989E+02
454,1.18273E-03,9.78871E+02
455,1.18260E-03,9.78753E+02
456,1.18248E-03,9.78634E+02
457,1.18235E-03,9.78516E+02
458,1.18223E-03,9.78398E+02
459,1.18211E-03,9.78280E+02
460,1.18198E-03,9.78162E+02
461,1.18186E-03,9.78043E+02
462,1.18173E-03,9.77925E+02
463,1.18161E-03,9.77807E+02
464,1.18149E-03,9.77689E+02
465,1.18136E-03,9.77571E+02
466,1.18124E-03,9.77453E+02
467,1.18112E-03,9.77334E+02
468,1.18099E-03,9.77216E+02
469,1.18087E-03,9.77098E+02
470,1.18074E-03,9.76980E+02
471,1.18062E-03,9.76862E+02
472,1.18050E-03,9.76744E+02
473,1.18037E-03,9.76626E+02
474,1.18025E-03,9.76508E+02
475,1.18013E-03,9.76390E+02
476,1.18000E-03,9.76272E+02
477,1.17988E-03,9.76154E+02
478,1.17975E-03,9.76036E+02
479,1.17963E-03,9.75918E+02
480,1.17951E-03,9.75800E+02
481,1.17938E-03,9.75682E+02
482,1.17926E-03,9.75564E+02
483,1.17914E-03,9.75446E+02
484,1.17901E-03,9.75328E+02
485,1.17889E-03,9.75210E+02
486,1.17877E-03,9.75092E+02
487,1.17864E-03,9.74975E+02
488,1.17852E-03,9.74857E+02
489,1.17840E-03,9.74739E+02
490,1.17827E-03,9.74621E+02
491,1.17815E-03,9.74503E+02
492,1.17802E-03,9.74385E+02
493,1.17790E-03,9.74268E+02
494,1.17778E-03,9.74150E+02
495,1.17765E-03,9.74032E+02
496,1.17753E-03,9.73914E+02
497,1.17741E-03,9.73796E+02
498,1.17728E-03,9.73679E+02
499,1.17716E-03,9.73561E+02
500,1.17704E-03,9.73443E+02
501,1.17691E-03,9.73326E+02
502,1.17679E-03,9.73208E+02
503,1.17667E-03,9.73090E+02
504,1.17654E-03,9.72973E+02
505,1.17642E-03,9.72855E+02
506,1.17630E-03,9.72737E+02
507,1.17617E-03,9.72620E+02
508,1.17605E-03,9.72502E+02
509,1.17593E-03,9.72384E+02
510,1.17580E-03,9.72267E+02
511,1.17568E-03,9.72149E+02
512,1.17556E-03,9.72032E+02
513,1.17544E-03,9.71914E+02
514,1.17531E-03,9.71797E+02
515,1.17519E-03,9.71679E+02
516,1.17507E-03,9.71561E+02
517,1.17494E-03,9.71444E+02
518,1.17482E-03,9.71326E+02
519,1.17470E-03,9.71209E+02
520,1.17457E-03,9.71092E+02
521,1.17445E-03,9.70974E+02
522,1.17433E-03,9.70857E+02
523,1.17420E-03,9.70739E+02
524,1.17408E-03,9.70622E+02
525,1.17396E-03,9.70504E+02
526,1.17383E-03,9.70387E+02
527,1.17371E-03,9.70270E+02
528,1.17359E-03,9.70152E+02
529,1.17347E-03,9.70035E+02
530,1.17334E-03,9.69917E+02
531,1.17322E-03,9.69800E+02
532,1.17310E-03,9.69683E+02
533,1.17297E-03,9.69566E+02
534,1.17285E-03,9.69448E+02
535,1.17273E-03,9.69331E+02
536,1.17261E-03,9.69214E+02
537,1.17248E-03,9.69096E+02
538,1.17236E-03,9.68979E+02
539,1.17224E-03,9.68862E+02
540,1.17211E-03,9.68745E+02
541,1.17199E-03,9.68627E+02
542,1.17187E-03,9.68510E+02
543,1.17175E-03,9.68393E+02
